"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","","","NetMon Filter","136","Filter: None"
"2","0.000000000","","","NetMon Network Info","1908","Adapter count: 7"
"3","0.000000000","8.247.201.254","192.168.137.174","HTTP","1506","Continuation"
"4","0.000038400","8.247.201.254","192.168.137.174","HTTP","82","Continuation"
"5","0.000065500","23.46.166.13","192.168.137.174","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"6","0.000090600","23.46.166.13","192.168.137.174","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"7","0.000115500","23.46.164.164","192.168.137.174","SSL","1506","Continuation Data"
"8","0.000134000","23.46.164.164","192.168.137.174","SSL","1506","[TCP Previous segment not captured] , Continuation Data"
"9","0.000158700","23.46.164.164","192.168.137.174","SSL","1506","Continuation Data"
"10","0.000691300","192.168.137.174","8.247.201.254","TCP","66","52907  >  80 [ACK] Seq=1 Ack=1457 Win=65535 Len=0 TSval=660387 TSecr=2329686790"
"11","0.000691300","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660387 TSecr=3178231336 SLE=4294952897 SRE=1441 SLE=4294948577 SRE=4294951457[Packet size limited during capture]"
"12","0.000691300","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660387 TSecr=3178231336 SLE=2881 SRE=4321 SLE=4294952897 SRE=1441[Packet size limited during capture]"
"13","0.001585300","192.168.137.174","23.46.166.13","TLSv1.2","1408","Application Data[Packet size limited during capture]"
"14","0.001591700","192.168.137.174","23.46.166.13","TLSv1.2","1016","Application Data[Packet size limited during capture]"
"15","0.001617000","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660387 TSecr=3178231336 SLE=2881 SRE=5761 SLE=4294952897 SRE=1441[Packet size limited during capture]"
"16","0.123945600","23.46.164.164","192.168.137.174","SSL","1506","Continuation Data"
"17","0.124465700","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660511 TSecr=3178231336 SLE=2881 SRE=7201 SLE=4294952897 SRE=1441[Packet size limited during capture]"
"18","0.168070900","23.46.164.164","192.168.137.174","SSL","1506","Continuation Data"
"19","0.168586600","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660555 TSecr=3178231336 SLE=2881 SRE=8641 SLE=4294952897 SRE=1441[Packet size limited during capture]"
"20","0.183320000","23.46.164.164","192.168.137.174","SSL","1506","Continuation Data"
"21","0.183885000","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660570 TSecr=3178231336 SLE=2881 SRE=10081 SLE=4294952897 SRE=1441[Packet size limited during capture]"
"22","0.311917600","23.46.164.164","192.168.137.174","SSL","1506","[TCP Previous segment not captured] , Continuation Data"
"23","0.311949600","23.46.164.164","192.168.137.174","SSL","1506","Continuation Data"
"24","0.311966700","23.46.164.164","192.168.137.174","TCP","68","443  >  58535 [PSH, ACK] Seq=14401 Ack=1 Win=261 Len=2 TSval=3178231762 TSecr=659456 [TCP segment of a reassembled PDU]"
"25","0.311982400","23.46.164.164","192.168.137.174","TCP","1506","[TCP Out-Of-Order] 443  >  58535 [ACK] Seq=4294929857 Ack=1 Win=261 Len=1440 TSval=3178232003 TSecr=659796"
"26","0.312002800","23.46.166.13","192.168.137.174","TLSv1.2","117","[TCP Spurious Retransmission] , Change Cipher Spec, Encrypted Handshake Message"
"27","0.312022300","23.46.166.13","192.168.137.174","TLSv1.2","117","[TCP Spurious Retransmission] , Change Cipher Spec, Encrypted Handshake Message"
"28","0.312543600","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660699 TSecr=3178231336 SLE=11521 SRE=12961 SLE=2881 SRE=10081[Packet size limited during capture]"
"29","0.312543600","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660699 TSecr=3178231336 SLE=11521 SRE=14401 SLE=2881 SRE=10081[Packet size limited during capture]"
"30","0.312543600","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294929857 Win=517 Len=0 TSval=660699 TSecr=3178231336 SLE=11521 SRE=14403 SLE=2881 SRE=10081[Packet size limited during capture]"
"31","0.312638400","192.168.137.174","23.46.166.13","TCP","66","[TCP Dup ACK 13#1] 64994  >  443 [ACK] Seq=1343 Ack=52 Win=517 Len=0 TSval=660699 TSecr=3631237802"
"32","0.312688800","192.168.137.174","23.46.166.13","TCP","66","[TCP Dup ACK 14#1] 53897  >  443 [ACK] Seq=951 Ack=52 Win=517 Len=0 TSval=660699 TSecr=3615238368"
"33","0.312763800","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294945697 Win=393 Len=0 TSval=660699 TSecr=3178232003 SLE=11521 SRE=14403 SLE=2881 SRE=10081[Packet size limited during capture]"
"34","0.316667000","23.46.164.164","192.168.137.174","TCP","1506","[TCP Retransmission] 443  >  58535 [ACK] Seq=4294945697 Ack=1 Win=261 Len=1440 TSval=3178232338 TSecr=660096"
"35","0.317179600","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294947137 Win=506 Len=0 TSval=660703 TSecr=3178232338 SLE=11521 SRE=14403 SLE=2881 SRE=10081[Packet size limited during capture]"
"36","0.317685900","23.46.164.164","192.168.137.174","TCP","1506","[TCP Retransmission] 443  >  58535 [ACK] Seq=4294947137 Ack=1 Win=261 Len=1440 TSval=3178232338 TSecr=660096"
"37","0.318092500","192.168.137.174","23.46.164.164","TCP","94","58535  >  443 [ACK] Seq=1 Ack=4294951457 Win=483 Len=0 TSval=660704 TSecr=3178232338 SLE=11521 SRE=14403 SLE=2881 SRE=10081[Packet size limited during capture]"
"38","0.322321700","23.46.164.164","192.168.137.174","TCP","1506","[TCP Retransmission] 443  >  58535 [ACK] Seq=4294951457 Ack=1 Win=261 Len=1440 TSval=3178232338 TSecr=660096"
"39","0.322885000","192.168.137.174","23.46.164.164","TCP","86","58535  >  443 [ACK] Seq=1 Ack=1441 Win=382 Len=0 TSval=660709 TSecr=3178232338 SLE=11521 SRE=14403 SLE=2881 SRE=10081"
"40","0.323852700","192.168.137.174","23.46.164.164","TCP","86","[TCP Window Update] 58535  >  443 [ACK] Seq=1 Ack=1441 Win=517 Len=0 TSval=660709 TSecr=3178232338 SLE=11521 SRE=14403 SLE=2881 SRE=10081"
"41","0.334062400","8.247.201.254","192.168.137.174","HTTP","1506","[TCP Spurious Retransmission] Continuation"
"42","0.334565800","192.168.137.174","8.247.201.254","TCP","66","[TCP Dup ACK 10#1] 52907  >  80 [ACK] Seq=1 Ack=1457 Win=65535 Len=0 TSval=660721 TSecr=2329686790"
"43","0.344920000","8.247.201.254","192.168.137.174","HTTP","1506","Continuation[Packet size limited during capture]"
"44","0.344954600","8.247.201.254","192.168.137.174","HTTP","74","Continuation"
"45","0.345672700","192.168.137.174","8.247.201.254","TCP","66","52907  >  80 [ACK] Seq=1 Ack=2905 Win=65535 Len=0 TSval=660732 TSecr=2329688104"
"46","0.425044300","23.46.164.164","192.168.137.174","TCP","1506","[TCP Retransmission] 443  >  58535 [ACK] Seq=1441 Ack=1 Win=261 Len=1440 TSval=3178232840 TSecr=660387"
"47","0.425590200","192.168.137.174","23.46.164.164","TCP","78","58535  >  443 [ACK] Seq=1 Ack=10081 Win=450 Len=0 TSval=660812 TSecr=3178232840 SLE=11521 SRE=14403"
"48","0.425610800","192.168.137.174","192.168.137.1","DNS","94","Standard query 0x3bea[Packet size limited during capture]"
"49","0.428678500","192.168.137.174","192.168.137.1","DNS","96","Standard query 0x6457[Packet size limited during capture]"
"50","0.428678500","192.168.137.174","192.168.137.1","DNS","95","Standard query 0xd862[Packet size limited during capture]"
"51","-0.000024600","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"52","-0.000024600","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"53","-0.000024600","8.247.201.254","192.168.1.67","TCP","1558","80  >  61768[Packet size limited during capture]"
"54","-0.000024600","8.247.201.254","192.168.1.67","TCP","134","80  >  61768[Packet size limited during capture]"
"55","-0.000024600","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"56","-0.000024600","23.46.166.13","192.168.1.67","TCP","169","443  >  61810[Packet size limited during capture]"
"57","-0.000024600","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"58","-0.000024600","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"59","-0.000024600","23.46.166.13","192.168.1.67","TCP","169","443  >  61809[Packet size limited during capture]"
"60","-0.000024600","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"61","-0.000024600","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"62","-0.000024600","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"63","0.000405300","192.168.1.67","99.86.91.25","TCP","124","63936  >  443[Packet size limited during capture]"
"64","0.000509600","192.168.1.67","99.86.91.25","TCP","124","63936  >  443[Packet size limited during capture]"
"65","0.000560100","192.168.1.67","99.86.91.25","TCP","132","63936  >  443[Packet size limited during capture]"
"66","0.000601700","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"67","0.000640400","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"68","0.000961200","192.168.1.67","8.247.201.254","TCP","116","61768  >  80[Packet size limited during capture]"
"69","0.001048200","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"70","0.001091800","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"71","0.001838800","192.168.1.67","23.46.166.13","TCP","1458","61809  >  443[Packet size limited during capture]"
"72","0.001850600","192.168.1.67","23.46.166.13","TCP","1066","61810  >  443[Packet size limited during capture]"
"73","0.001858400","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"74","0.092748200","99.86.91.25","192.168.1.67","TCP","118","443  >  63936[Packet size limited during capture]"
"75","0.123986800","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"76","0.123986800","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"77","0.123986800","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"78","0.123986800","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"79","0.124190700","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"80","0.124280200","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"81","0.124325400","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"82","0.124695100","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"83","0.168134100","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"84","0.168833600","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"85","0.183404800","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"86","0.184130800","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"87","0.311950600","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"88","0.311950600","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"89","0.311950600","23.46.164.164","192.168.1.67","TCP","120","443  >  61770[Packet size limited during capture]"
"90","0.311950600","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"91","0.311950600","23.46.166.13","192.168.1.67","TCP","169","443  >  61810[Packet size limited during capture]"
"92","0.311950600","23.46.166.13","192.168.1.67","TCP","169","443  >  61809[Packet size limited during capture]"
"93","0.312781300","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"94","0.312876100","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"95","0.312896000","192.168.1.67","23.46.166.13","TCP","116","61809  >  443[Packet size limited during capture]"
"96","0.312924500","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"97","0.312942000","192.168.1.67","23.46.166.13","TCP","116","61810  >  443[Packet size limited during capture]"
"98","0.312972300","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"99","0.316728600","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"100","0.317497700","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"101","0.317761400","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"102","0.318363200","192.168.1.67","23.46.164.164","TCP","144","61770  >  443[Packet size limited during capture]"
"103","0.322382500","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"104","0.323182200","192.168.1.67","23.46.164.164","TCP","136","61770  >  443[Packet size limited during capture]"
"105","0.323261100","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"106","0.323385100","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"107","0.324146600","192.168.1.67","23.46.164.164","TCP","136","61770  >  443[Packet size limited during capture]"
"108","0.331214300","13.107.18.11","192.168.1.67","TCP","154","443  >  56127[Packet size limited during capture]"
"109","0.331214300","172.217.19.131","192.168.1.67","TCP","161","443  >  56109[Packet size limited during capture]"
"110","0.331214300","172.217.19.131","192.168.1.67","TCP","106","443  >  56109[Packet size limited during capture]"
"111","0.334115000","8.247.201.254","192.168.1.67","TCP","1558","80  >  61768[Packet size limited during capture]"
"112","0.334852900","192.168.1.67","8.247.201.254","TCP","116","61768  >  80[Packet size limited during capture]"
"113","0.344972300","8.247.201.254","192.168.1.67","TCP","1558","80  >  61768[Packet size limited during capture]"
"114","0.344972300","8.247.201.254","192.168.1.67","TCP","126","80  >  61768[Packet size limited during capture]"
"115","0.345896400","13.107.18.11","192.168.1.67","TCP","154","443  >  56127[Packet size limited during capture]"
"116","0.345980100","192.168.1.67","8.247.201.254","TCP","116","61768  >  80[Packet size limited during capture]"
"117","0.346056500","192.168.1.67","13.107.18.11","TCP","116","56127  >  443[Packet size limited during capture]"
"118","0.420028500","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"119","0.420256200","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"120","0.425013000","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"121","0.425892100","192.168.1.67","23.46.164.164","TCP","128","61770  >  443[Packet size limited during capture]"
"122","0.426172900","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"123","0.426405800","192.168.1.67","99.86.91.25","TCP","140","63936  >  443[Packet size limited during capture]"
"124","0.447783800","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"125","0.448059800","192.168.1.67","99.86.91.25","TCP","132","63936  >  443[Packet size limited during capture]"
"126","0.455430400","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"127","0.455683300","192.168.1.67","99.86.91.25","TCP","124","63936  >  443[Packet size limited during capture]"
"128","0.463047100","23.46.166.13","192.168.1.67","TCP","118","443  >  61810[Packet size limited during capture]"
"129","0.463644700","3.10.95.11","192.168.1.67","TCP","106","443  >  63934[Packet size limited during capture]"
"130","0.463870900","192.168.1.67","3.10.95.11","TCP","104","63934  >  443[Packet size limited during capture]"
"131","0.464170200","3.10.95.11","192.168.1.67","TCP","106","443  >  63933[Packet size limited during capture]"
"132","0.464284800","192.168.1.67","3.10.95.11","TCP","104","63933  >  443[Packet size limited during capture]"
"133","0.468799300","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"134","0.468937600","192.168.1.67","99.86.91.25","TCP","116","63936  >  443[Packet size limited during capture]"
"135","0.471487500","8.247.201.254","192.168.1.67","TCP","1558","80  >  61768[Packet size limited during capture]"
"136","0.472803400","8.247.201.254","192.168.1.67","TCP","1558","80  >  61768[Packet size limited during capture]"
"137","0.472803400","8.247.201.254","192.168.1.67","TCP","134","80  >  61768[Packet size limited during capture]"
"138","0.473366600","192.168.1.67","8.247.201.254","TCP","116","61768  >  80[Packet size limited during capture]"
"139","0.494744200","8.247.201.254","192.168.1.67","TCP","1550","80  >  61768[Packet size limited during capture]"
"140","0.495403000","192.168.1.67","8.247.201.254","TCP","116","61768  >  80[Packet size limited during capture]"
"141","0.501821000","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"142","0.501901600","192.168.1.67","99.86.91.25","TCP","116","63936  >  443[Packet size limited during capture]"
"143","0.504487500","23.46.164.164","192.168.1.67","TCP","1558","443  >  61770[Packet size limited during capture]"
"144","0.504999400","192.168.1.67","23.46.164.164","TCP","116","61770  >  443[Packet size limited during capture]"
"145","0.579906200","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"146","0.579906200","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"147","0.579992400","192.168.1.67","99.86.91.25","TCP","116","63936  >  443[Packet size limited during capture]"
"148","0.580038900","192.168.1.67","99.86.91.25","TCP","116","63936  >  443[Packet size limited during capture]"
"149","0.582707900","99.86.91.25","192.168.1.67","TCP","1558","443  >  63936[Packet size limited during capture]"
"150","0.582707900","23.46.166.13","192.168.1.67","TCP","600","443  >  61809[Packet size limited during capture]"
"151","0.582807100","192.168.1.67","99.86.91.25","TCP","116","63936  >  443[Packet size limited during capture]"
"152","0.585964200","23.46.166.13","192.168.1.67","TCP","1558","443  >  61810[Packet size limited during capture]"
"153","0.586557600","23.46.166.13","192.168.1.67","TCP","675","443  >  61810[Packet size limited during capture]"
"154","0.586887600","192.168.1.67","23.46.166.13","TCP","116","61810  >  443[Packet size limited during capture]"
"155","0.587247200","23.46.166.13","192.168.1.67","TCP","446","443  >  61810[Packet size limited during capture]"
"156","0.679192700","8.247.201.254","192.168.1.67","TCP","1558","80  >  61768[Packet size limited during capture]"
